site_id,consumed_tonnes
SITE_025,33604.06
SITE_010,33579.76
SITE_018,33348.09
SITE_001,33056.4
SITE_021,33009.68
SITE_005,32935.68
SITE_022,32934.03
SITE_008,32689.5
SITE_007,32607.65
SITE_011,32587.01
SITE_020,32585.67
SITE_017,32530.14
SITE_003,32520.09
SITE_030,32459.18
SITE_024,29919.14
SITE_026,29875.39
SITE_013,29778.98
SITE_016,29339.46
SITE_014,29338.97
SITE_028,28947.34
SITE_006,28601.16
SITE_023,12995.74
SITE_002,12900.44
SITE_009,12735.31
SITE_004,12618.5
SITE_029,12612.85
SITE_019,12608.89
SITE_027,12568.9
SITE_012,12414.32
SITE_015,12226.88
